Ukazatel,IndicatorType,"ČR, regiony",Uz01A,Roky,Pohlaví,POHZM,Věk (roky),VEK1UT,Hodnota
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,0,400000600001000,78.5149246523
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,1,400001600002000,77.7817921678
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,2,400002600003000,76.8111592045
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,3,400003600004000,75.8258204027
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,4,400004600005000,74.8396843753
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,5,400005600006000,73.8533768829
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,6,400006600007000,72.8662692392
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,7,400007600008000,71.877454628
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,8,400008600009000,70.8865538314
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,9,400009610010000,69.8940813044
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,10,410010610011000,68.90094876
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,11,410011610012000,67.9079495691
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,12,410012610013000,66.9155900878
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,13,410013610014000,65.9241554927
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,14,410014610015000,64.9338930576
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,15,410015610016000,63.9451490468
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,16,410016610017000,62.9583673023
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,17,410017610018000,61.973801578
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,18,410018610019000,60.9912137793
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,19,410019610020000,60.0098160303
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,20,410020610021000,59.0288313778
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,21,410021610022000,58.0477478962
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,22,410022610023000,57.0663470411
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,23,410023610024000,56.0846413274
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,24,410024610025000,55.1028505875
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,25,410025610026000,54.121238342
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,26,410026610027000,53.1398798938
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,27,410027610028000,52.1586457965
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,28,410028610029000,51.1773905105
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,29,410029610030000,50.1961411912
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,30,410030610031000,49.2150950895
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,31,410031610032000,48.2344922539
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,32,410032610033000,47.2545354849
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,33,410033610034000,46.2754032339
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,34,410034610035000,45.2973474499
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,35,410035610036000,44.3207562769
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,36,410036610037000,43.3461750528
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,37,410037610038000,42.3742641039
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,38,410038610039000,41.4058137051
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,39,410039610040000,40.4416615092
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,40,410040610041000,39.4822891998
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,41,410041610042000,38.5275087008
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,42,410042610043000,37.5765734209
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,43,410043610044000,36.6288167591
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,44,410044610045000,35.6838484123
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,45,410045610046000,34.7417579051
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,46,410046610047000,33.8033481062
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,47,410047610048000,32.8702682067
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,48,410048610049000,31.9441995923
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,49,410049610050000,31.0258978039
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,50,410050610051000,30.1148527501
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,51,410051610052000,29.210149197
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,52,410052610053000,28.3111278548
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,53,410053610054000,27.4175116251
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,54,410054610055000,26.529427703
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,55,410055610056000,25.6474725154
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,56,410056610057000,24.7725824894
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,57,410057610058000,23.9053181445
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,58,410058610059000,23.0455925215
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,59,410059610060000,22.1928191361
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,60,410060610061000,21.3464679388
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,61,410061610062000,20.5061866087
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,62,410062610063000,19.6720892474
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,63,410063610064000,18.845177109
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,64,410064610065000,18.027480534
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,65,410065610066000,17.221282394
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,66,410066610067000,16.428224179
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,67,410067610068000,15.6491328858
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,68,410068610069000,14.8845339112
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,69,410069610070000,14.1350394111
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,70,410070610071000,13.4013770113
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,71,410071610072000,12.6844125996
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,72,410072610073000,11.9851808816
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,73,410073610074000,11.3049021065
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,74,410074610075000,10.6453069704
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,75,410075610076000,10.0081582433
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,76,410076610077000,9.3951180782
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,77,410077610078000,8.8077572109
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,78,410078610079000,8.2474182308
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,79,410079610080000,7.7144847011
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,80,410080610081000,7.2078285629
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,81,410081610082000,6.7257754376
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,82,410082610083000,6.267975388
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,83,410083610084000,5.8356354724
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,84,410084610085000,5.4287621215
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,85,410085610086000,5.0470363418
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,86,410086610087000,4.6900193132
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,87,410087610088000,4.3571573766
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,88,410088610089000,4.0477891912
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,89,410089610090000,3.7611549072
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,90,410090610091000,3.4964071257
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,91,410091610092000,3.2526233668
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,92,410092610093000,3.0288197357
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,93,410093610094000,2.82396549
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,94,410094610095000,2.636998284
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,95,410095610096000,2.4668400388
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,96,410096610097000,2.31241374
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,97,410097610098000,2.1726621486
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,98,410098610099000,2.0465707707
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,99,410099620100000,1.9332001758
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,100,420100620101000,1.8317384849
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,101,420101620102000,1.7415970987
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,102,420102620103000,1.6625995938
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,103,420103620104000,1.5953738828
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,104,420104620105000,1.5421953863
Naděje dožití (ex),5411UT,Česko,CZ,2001,ženy,2,105,420105799999000,1.5088501115
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,0,400000600001000,72.0261848818
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,1,400001600002000,71.3552547293
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,2,400002600003000,70.3969354661
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,3,400003600004000,69.4125533675
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,4,400004600005000,68.4237398251
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,5,400005600006000,67.4345855804
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,6,400006600007000,66.446416775
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,7,400007600008000,65.4587379767
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,8,400008600009000,64.4702478675
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,9,400009610010000,63.4805305068
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,10,410010610011000,62.4899510076
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,11,410011610012000,61.4991145332
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,12,410012610013000,60.5086339042
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,13,410013610014000,59.5192372185
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,14,410014610015000,58.5318341599
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,15,410015610016000,57.547631983
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,16,410016610017000,56.5682686838
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,17,410017610018000,55.5955147849
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,18,410018610019000,54.6305861221
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,19,410019610020000,53.6733432457
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,20,410020610021000,52.7225084828
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,21,410021610022000,51.7758966658
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,22,410022610023000,50.8309133064
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,23,410023610024000,49.8854220081
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,24,410024610025000,48.9380833679
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,25,410025610026000,47.988334258
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,26,410026610027000,47.0362163288
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,27,410027610028000,46.0822584936
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,28,410028610029000,45.1271515981
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,29,410029610030000,44.1715049411
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,30,410030610031000,43.2158638588
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,31,410031610032000,42.2607335911
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,32,410032610033000,41.3065973896
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,33,410033610034000,40.3539292997
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,34,410034610035000,39.4032025824
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,35,410035610036000,38.4548966944
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,36,410036610037000,37.5095102259
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,37,410037610038000,36.567599349
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,38,410038610039000,35.6298002047
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,39,410039610040000,34.6968346409
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,40,410040610041000,33.7694925719
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,41,410041610042000,32.8486328129
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,42,410042610043000,31.9351202827
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,43,410043610044000,31.0296762267
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,44,410044610045000,30.1327881165
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,45,410045610046000,29.2447920382
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,46,410046610047000,28.3660458109
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,47,410047610048000,27.4969527417
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,48,410048610049000,26.6379362664
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,49,410049610050000,25.7894122524
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,50,410050610051000,24.9517966484
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,51,410051610052000,24.1255950617
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,52,410052610053000,23.3114761573
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,53,410053610054000,22.5102395528
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,54,410054610055000,21.7224304888
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,55,410055610056000,20.9481195867
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,56,410056610057000,20.1869194052
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,57,410057610058000,19.4383594158
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,58,410058610059000,18.7019951759
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,59,410059610060000,17.9774855807
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,60,410060610061000,17.2647285168
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,61,410061610062000,16.5639262584
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,62,410062610063000,15.8754964129
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,63,410063610064000,15.1999038575
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,64,410064610065000,14.5376513908
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,65,410065610066000,13.8892545441
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,66,410066610067000,13.2552140662
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,67,410067610068000,12.6360103485
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,68,410068610069000,12.032096696
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,69,410069610070000,11.4438925657
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,70,410070610071000,10.8717795224
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,71,410071610072000,10.3161095785
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,72,410072610073000,9.7772070922
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,73,410073610074000,9.2553649674
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,74,410074610075000,8.750837565
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,75,410075610076000,8.2638364102
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,76,410076610077000,7.7945271514
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,77,410077610078000,7.3425216463
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,78,410078610079000,6.9080085941
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,79,410079610080000,6.4912457915
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,80,410080610081000,6.0925418557
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,81,410081610082000,5.7122319666
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,82,410082610083000,5.3506518702
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,83,410083610084000,5.0081069183
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,84,410084610085000,4.6848339182
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,85,410085610086000,4.3809563282
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,86,410086610087000,4.0964287992
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,87,410087610088000,3.8302986175
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,88,410088610089000,3.5820931393
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,89,410089610090000,3.3512638914
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,90,410090610091000,3.137195737
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,91,410091610092000,2.9392168838
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,92,410092610093000,2.7566095058
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,93,410093610094000,2.5886207841
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,94,410094610095000,2.4344742527
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,95,410095610096000,2.2933814993
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,96,410096610097000,2.1645545811
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,97,410097610098000,2.0472201238
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,98,410098610099000,1.9406372739
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,99,410099620100000,1.8441241456
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,100,420100620101000,1.7571026062
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,101,420101620102000,1.679182495
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,102,420102620103000,1.6103312288
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,103,420103620104000,1.5512308523
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,104,420104620105000,1.5040537196
Naděje dožití (ex),5411UT,Česko,CZ,2001,muži,1,105,420105799999000,1.4741908867
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,0,400000600001000,78.6968520681
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,1,400001600002000,77.99476073
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,2,400002600003000,77.0418207365
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,3,400003600004000,76.0571339647
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,4,400004600005000,75.0660323126
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,5,400005600006000,74.0739489712
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,6,400006600007000,73.0826027013
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,7,400007600008000,72.0918935357
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,8,400008600009000,71.1007369365
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,9,400009610010000,70.1085677614
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,10,410010610011000,69.115400529
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,11,410011610012000,68.1216225621
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,12,410012610013000,67.1278848603
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,13,410013610014000,66.1351915805
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,14,410014610015000,65.1446682602
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,15,410015610016000,64.1571465568
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,16,410016610017000,63.1725538782
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,17,410017610018000,62.1901550061
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,18,410018610019000,61.2089381771
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,19,410019610020000,60.2279249816
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,20,410020610021000,59.2466379529
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,21,410021610022000,58.2652069938
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,22,410022610023000,57.2840331106
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,23,410023610024000,56.3030669666
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,24,410024610025000,55.3217086878
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,25,410025610026000,54.3393294205
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,26,410026610027000,53.3559454216
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,27,410027610028000,52.3721332031
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,28,410028610029000,51.3886258406
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,29,410029610030000,50.406025706
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,30,410030610031000,49.4248243793
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,31,410031610032000,48.4453131524
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,32,410032610033000,47.4674497554
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,33,410033610034000,46.4908251402
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,34,410034610035000,45.5151631859
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,35,410035610036000,44.5406123541
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,36,410036610037000,43.5677132399
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,37,410037610038000,42.5969626304
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,38,410038610039000,41.6286457851
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,39,410039610040000,40.6628748293
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,40,410040610041000,39.699868823
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,41,410041610042000,38.7400477538
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,42,410042610043000,37.7839550517
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,43,410043610044000,36.8320223092
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,44,410044610045000,35.8844835167
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,45,410045610046000,34.9414448361
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,46,410046610047000,34.0030309465
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,47,410047610048000,33.0694111034
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,48,410048610049000,32.1408465504
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,49,410049610050000,31.2177435259
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,50,410050610051000,30.3006431665
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,51,410051610052000,29.3897847818
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,52,410052610053000,28.4847558397
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,53,410053610054000,27.5846087739
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,54,410054610055000,26.6892540808
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,55,410055610056000,25.8001526922
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,56,410056610057000,24.9199261107
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,57,410057610058000,24.0500080585
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,58,410058610059000,23.189603966
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,59,410059610060000,22.3362664821
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,60,410060610061000,21.4882972719
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,61,410061610062000,20.6453198325
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,62,410062610063000,19.8080525619
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,63,410063610064000,18.977855724
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,64,410064610065000,18.1567721543
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,65,410065610066000,17.3468603765
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,66,410066610067000,16.5494082352
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,67,410067610068000,15.764785362
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,68,410068610069000,14.9934844677
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,69,410069610070000,14.2369692287
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,70,410070610071000,13.497724159
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,71,410071610072000,12.7780169835
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,72,410072610073000,12.0791612427
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,73,410073610074000,11.4013161904
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,74,410074610075000,10.7437599336
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,75,410075610076000,10.1048414017
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,76,410076610077000,9.4835203651
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,77,410077610078000,8.8818615937
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,78,410078610079000,8.3042976179
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,79,410079610080000,7.755394791
Naděje dožití (ex),5411UT,Česko,CZ,2002,ženy,2,80,410080610081000,7.2373699275
