Ukazatel,IndicatorType,Roky,Oblast,Uz012,Věk (jednoleté skupiny),VEKZEN1PLOD,Hodnota,Uz01A
Míry plodnosti,5406,2001,Česko,CZ,15,410015610016000,1.2348156266,CZ
Míry plodnosti,5406,2001,Česko,CZ,16,410016610017000,3.3536585366,CZ
Míry plodnosti,5406,2001,Česko,CZ,17,410017610018000,7.8142850615,CZ
Míry plodnosti,5406,2001,Česko,CZ,18,410018610019000,16.114645894,CZ
Míry plodnosti,5406,2001,Česko,CZ,19,410019610020000,27.9337694668,CZ
Míry plodnosti,5406,2001,Česko,CZ,20,410020610021000,40.0839454355,CZ
Míry plodnosti,5406,2001,Česko,CZ,21,410021610022000,49.9279761292,CZ
Míry plodnosti,5406,2001,Česko,CZ,22,410022610023000,58.3937241396,CZ
Míry plodnosti,5406,2001,Česko,CZ,23,410023610024000,70.6230141642,CZ
Míry plodnosti,5406,2001,Česko,CZ,24,410024610025000,82.8294080204,CZ
Míry plodnosti,5406,2001,Česko,CZ,25,410025610026000,95.6584419185,CZ
Míry plodnosti,5406,2001,Česko,CZ,26,410026610027000,99.1485645672,CZ
Míry plodnosti,5406,2001,Česko,CZ,27,410027610028000,97.2687582496,CZ
Míry plodnosti,5406,2001,Česko,CZ,28,410028610029000,89.3880104513,CZ
Míry plodnosti,5406,2001,Česko,CZ,29,410029610030000,78.1003617475,CZ
Míry plodnosti,5406,2001,Česko,CZ,30,410030610031000,68.1616464193,CZ
Míry plodnosti,5406,2001,Česko,CZ,31,410031610032000,58.3684544772,CZ
Míry plodnosti,5406,2001,Česko,CZ,32,410032610033000,45.2842114768,CZ
Míry plodnosti,5406,2001,Česko,CZ,33,410033610034000,37.6026398588,CZ
Míry plodnosti,5406,2001,Česko,CZ,34,410034610035000,29.4211413217,CZ
Míry plodnosti,5406,2001,Česko,CZ,35,410035610036000,23.2890644576,CZ
Míry plodnosti,5406,2001,Česko,CZ,36,410036610037000,19.2782646739,CZ
Míry plodnosti,5406,2001,Česko,CZ,37,410037610038000,14.6403029028,CZ
Míry plodnosti,5406,2001,Česko,CZ,38,410038610039000,9.9166878562,CZ
Míry plodnosti,5406,2001,Česko,CZ,39,410039610040000,8.4501203744,CZ
Míry plodnosti,5406,2001,Česko,CZ,40,410040610041000,5.6952782736,CZ
Míry plodnosti,5406,2001,Česko,CZ,41,410041610042000,3.6897343391,CZ
Míry plodnosti,5406,2001,Česko,CZ,42,410042610043000,2.0037570445,CZ
Míry plodnosti,5406,2001,Česko,CZ,43,410043610044000,1.0493933644,CZ
Míry plodnosti,5406,2001,Česko,CZ,44,410044610045000,0.6081574182,CZ
Míry plodnosti,5406,2001,Česko,CZ,45,410045610046000,0.275637576,CZ
Míry plodnosti,5406,2001,Česko,CZ,46,410046610047000,0.0258655251,CZ
Míry plodnosti,5406,2001,Česko,CZ,47,410047610048000,0.0511012315,CZ
Míry plodnosti,5406,2001,Česko,CZ,48,410048610049000,0.0125248932,CZ
Míry plodnosti,5406,2001,Česko,CZ,49,410049610050000,0.0245101043,CZ
Míry plodnosti,5406,2001,Praha,CZ01,15,410015610016000,0.4718464926,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,16,410016610017000,0.9140767824,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,17,410017610018000,4.1058394161,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,18,410018610019000,7.0546737213,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,19,410019610020000,12.4223602484,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,20,410020610021000,17.6286236615,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,21,410021610022000,26.8077601411,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,22,410022610023000,29.6719896418,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,23,410023610024000,39.4250513347,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,24,410024610025000,50.6103006847,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,25,410025610026000,68.9688621593,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,26,410026610027000,81.9827504502,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,27,410027610028000,91.862745098,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,28,410028610029000,97.2716488731,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,29,410029610030000,98.1308411215,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,30,410030610031000,89.7885196375,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,31,410031610032000,83.8066388994,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,32,410032610033000,67.0427709263,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,33,410033610034000,52.0888418826,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,34,410034610035000,41.2921714211,CZ01
Míry plodnosti,5406,2001,Praha,CZ01,35,410035610036000,31.488191928,CZ01
