"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Živě narození - chlapci","4355WZNM2","2019","2019","Střední Morava","CZ07","6302"
"Živě narození - chlapci","4355WZNM2","2019","2019","Moravskoslezsko","CZ08","6192"
"Živě narození - chlapci","4355WZNM2","2019","2019","Hlavní město Praha","CZ010","7632"
"Živě narození - chlapci","4355WZNM2","2019","2019","Středočeský kraj","CZ020","7628"
"Živě narození - chlapci","4355WZNM2","2019","2019","Jihočeský kraj","CZ031","3387"
"Živě narození - chlapci","4355WZNM2","2019","2019","Plzeňský kraj","CZ032","3115"
"Živě narození - chlapci","4355WZNM2","2019","2019","Karlovarský kraj","CZ041","1452"
"Živě narození - chlapci","4355WZNM2","2019","2019","Ústecký kraj","CZ042","4117"
"Živě narození - chlapci","4355WZNM2","2019","2019","Liberecký kraj","CZ051","2354"
"Živě narození - chlapci","4355WZNM2","2019","2019","Královéhradecký kraj","CZ052","2838"
"Živě narození - chlapci","4355WZNM2","2019","2019","Pardubický kraj","CZ053","2978"
"Živě narození - chlapci","4355WZNM2","2019","2019","Kraj Vysočina","CZ063","2818"
"Živě narození - chlapci","4355WZNM2","2019","2019","Jihomoravský kraj","CZ064","6772"
"Živě narození - chlapci","4355WZNM2","2019","2019","Olomoucký kraj","CZ071","3286"
"Živě narození - chlapci","4355WZNM2","2019","2019","Zlínský kraj","CZ072","3016"
"Živě narození - chlapci","4355WZNM2","2019","2019","Moravskoslezský kraj","CZ080","6192"
"Živě narození - chlapci","4355WZNM2","2020","2020","Česko","CZ","56276"
"Živě narození - chlapci","4355WZNM2","2020","2020","Praha","CZ01","7483"
"Živě narození - chlapci","4355WZNM2","2020","2020","Střední Čechy","CZ02","7313"
"Živě narození - chlapci","4355WZNM2","2020","2020","Jihozápad","CZ03","6353"
"Živě narození - chlapci","4355WZNM2","2020","2020","Severozápad","CZ04","5444"
"Živě narození - chlapci","4355WZNM2","2020","2020","Severovýchod","CZ05","7941"
"Živě narození - chlapci","4355WZNM2","2020","2020","Jihovýchod","CZ06","9401"
"Živě narození - chlapci","4355WZNM2","2020","2020","Střední Morava","CZ07","6311"
"Živě narození - chlapci","4355WZNM2","2020","2020","Moravskoslezsko","CZ08","6030"
"Živě narození - chlapci","4355WZNM2","2020","2020","Hlavní město Praha","CZ010","7483"
"Živě narození - chlapci","4355WZNM2","2020","2020","Středočeský kraj","CZ020","7313"
"Živě narození - chlapci","4355WZNM2","2020","2020","Jihočeský kraj","CZ031","3358"
"Živě narození - chlapci","4355WZNM2","2020","2020","Plzeňský kraj","CZ032","2995"
"Živě narození - chlapci","4355WZNM2","2020","2020","Karlovarský kraj","CZ041","1413"
"Živě narození - chlapci","4355WZNM2","2020","2020","Ústecký kraj","CZ042","4031"
"Živě narození - chlapci","4355WZNM2","2020","2020","Liberecký kraj","CZ051","2332"
"Živě narození - chlapci","4355WZNM2","2020","2020","Královéhradecký kraj","CZ052","2825"
"Živě narození - chlapci","4355WZNM2","2020","2020","Pardubický kraj","CZ053","2784"
"Živě narození - chlapci","4355WZNM2","2020","2020","Kraj Vysočina","CZ063","2760"
"Živě narození - chlapci","4355WZNM2","2020","2020","Jihomoravský kraj","CZ064","6641"
"Živě narození - chlapci","4355WZNM2","2020","2020","Olomoucký kraj","CZ071","3341"
"Živě narození - chlapci","4355WZNM2","2020","2020","Zlínský kraj","CZ072","2970"
"Živě narození - chlapci","4355WZNM2","2020","2020","Moravskoslezský kraj","CZ080","6030"
"Živě narození - chlapci","4355WZNM2","2021","2021","Česko","CZ","57179"
"Živě narození - chlapci","4355WZNM2","2021","2021","Praha","CZ01","7793"
"Živě narození - chlapci","4355WZNM2","2021","2021","Střední Čechy","CZ02","7754"
"Živě narození - chlapci","4355WZNM2","2021","2021","Jihozápad","CZ03","6478"
"Živě narození - chlapci","4355WZNM2","2021","2021","Severozápad","CZ04","5357"
"Živě narození - chlapci","4355WZNM2","2021","2021","Severovýchod","CZ05","7877"
"Živě narození - chlapci","4355WZNM2","2021","2021","Jihovýchod","CZ06","9556"
"Živě narození - chlapci","4355WZNM2","2021","2021","Střední Morava","CZ07","6231"
"Živě narození - chlapci","4355WZNM2","2021","2021","Moravskoslezsko","CZ08","6133"
"Živě narození - chlapci","4355WZNM2","2021","2021","Hlavní město Praha","CZ010","7793"
"Živě narození - chlapci","4355WZNM2","2021","2021","Středočeský kraj","CZ020","7754"
"Živě narození - chlapci","4355WZNM2","2021","2021","Jihočeský kraj","CZ031","3448"
"Živě narození - chlapci","4355WZNM2","2021","2021","Plzeňský kraj","CZ032","3030"
"Živě narození - chlapci","4355WZNM2","2021","2021","Karlovarský kraj","CZ041","1340"
"Živě narození - chlapci","4355WZNM2","2021","2021","Ústecký kraj","CZ042","4017"
"Živě narození - chlapci","4355WZNM2","2021","2021","Liberecký kraj","CZ051","2231"
"Živě narození - chlapci","4355WZNM2","2021","2021","Královéhradecký kraj","CZ052","2882"
"Živě narození - chlapci","4355WZNM2","2021","2021","Pardubický kraj","CZ053","2764"
"Živě narození - chlapci","4355WZNM2","2021","2021","Kraj Vysočina","CZ063","2863"
"Živě narození - chlapci","4355WZNM2","2021","2021","Jihomoravský kraj","CZ064","6693"
"Živě narození - chlapci","4355WZNM2","2021","2021","Olomoucký kraj","CZ071","3175"
"Živě narození - chlapci","4355WZNM2","2021","2021","Zlínský kraj","CZ072","3056"
"Živě narození - chlapci","4355WZNM2","2021","2021","Moravskoslezský kraj","CZ080","6133"
"Živě narození - chlapci","4355WZNM2","2022","2022","Česko","CZ","51987"
"Živě narození - chlapci","4355WZNM2","2022","2022","Praha","CZ01","6800"
"Živě narození - chlapci","4355WZNM2","2022","2022","Střední Čechy","CZ02","6889"
"Živě narození - chlapci","4355WZNM2","2022","2022","Jihozápad","CZ03","5912"
"Živě narození - chlapci","4355WZNM2","2022","2022","Severozápad","CZ04","4989"
"Živě narození - chlapci","4355WZNM2","2022","2022","Severovýchod","CZ05","7232"
"Živě narození - chlapci","4355WZNM2","2022","2022","Jihovýchod","CZ06","8842"
"Živě narození - chlapci","4355WZNM2","2022","2022","Střední Morava","CZ07","5815"
"Živě narození - chlapci","4355WZNM2","2022","2022","Moravskoslezsko","CZ08","5508"
"Živě narození - chlapci","4355WZNM2","2022","2022","Hlavní město Praha","CZ010","6800"
"Živě narození - chlapci","4355WZNM2","2022","2022","Středočeský kraj","CZ020","6889"
"Živě narození - chlapci","4355WZNM2","2022","2022","Jihočeský kraj","CZ031","3126"
"Živě narození - chlapci","4355WZNM2","2022","2022","Plzeňský kraj","CZ032","2786"
"Živě narození - chlapci","4355WZNM2","2022","2022","Karlovarský kraj","CZ041","1252"
"Živě narození - chlapci","4355WZNM2","2022","2022","Ústecký kraj","CZ042","3737"
"Živě narození - chlapci","4355WZNM2","2022","2022","Liberecký kraj","CZ051","2076"
"Živě narození - chlapci","4355WZNM2","2022","2022","Královéhradecký kraj","CZ052","2621"
"Živě narození - chlapci","4355WZNM2","2022","2022","Pardubický kraj","CZ053","2535"
"Živě narození - chlapci","4355WZNM2","2022","2022","Kraj Vysočina","CZ063","2559"
"Živě narození - chlapci","4355WZNM2","2022","2022","Jihomoravský kraj","CZ064","6283"
"Živě narození - chlapci","4355WZNM2","2022","2022","Olomoucký kraj","CZ071","3065"
"Živě narození - chlapci","4355WZNM2","2022","2022","Zlínský kraj","CZ072","2750"
"Živě narození - chlapci","4355WZNM2","2022","2022","Moravskoslezský kraj","CZ080","5508"
"Živě narození - chlapci","4355WZNM2","2023","2023","Česko","CZ","46910"
"Živě narození - chlapci","4355WZNM2","2023","2023","Praha","CZ01","6426"
"Živě narození - chlapci","4355WZNM2","2023","2023","Střední Čechy","CZ02","6372"
"Živě narození - chlapci","4355WZNM2","2023","2023","Jihozápad","CZ03","5281"
"Živě narození - chlapci","4355WZNM2","2023","2023","Severozápad","CZ04","4341"
"Živě narození - chlapci","4355WZNM2","2023","2023","Severovýchod","CZ05","6484"
"Živě narození - chlapci","4355WZNM2","2023","2023","Jihovýchod","CZ06","7835"
"Živě narození - chlapci","4355WZNM2","2023","2023","Střední Morava","CZ07","5209"
"Živě narození - chlapci","4355WZNM2","2023","2023","Moravskoslezsko","CZ08","4962"
"Živě narození - chlapci","4355WZNM2","2023","2023","Hlavní město Praha","CZ010","6426"
"Živě narození - chlapci","4355WZNM2","2023","2023","Středočeský kraj","CZ020","6372"
"Živě narození - chlapci","4355WZNM2","2023","2023","Jihočeský kraj","CZ031","2710"
"Živě narození - chlapci","4355WZNM2","2023","2023","Plzeňský kraj","CZ032","2571"
"Živě narození - chlapci","4355WZNM2","2023","2023","Karlovarský kraj","CZ041","1106"
"Živě narození - chlapci","4355WZNM2","2023","2023","Ústecký kraj","CZ042","3235"
"Živě narození - chlapci","4355WZNM2","2023","2023","Liberecký kraj","CZ051","1831"
"Živě narození - chlapci","4355WZNM2","2023","2023","Královéhradecký kraj","CZ052","2304"
"Živě narození - chlapci","4355WZNM2","2023","2023","Pardubický kraj","CZ053","2349"
"Živě narození - chlapci","4355WZNM2","2023","2023","Kraj Vysočina","CZ063","2386"
"Živě narození - chlapci","4355WZNM2","2023","2023","Jihomoravský kraj","CZ064","5449"
"Živě narození - chlapci","4355WZNM2","2023","2023","Olomoucký kraj","CZ071","2711"
"Živě narození - chlapci","4355WZNM2","2023","2023","Zlínský kraj","CZ072","2498"
"Živě narození - chlapci","4355WZNM2","2023","2023","Moravskoslezský kraj","CZ080","4962"
"Živě narození - dívky","4355WZNZ2","2000","2000","Česko","CZ","43846"
"Živě narození - dívky","4355WZNZ2","2000","2000","Praha","CZ01","4667"
"Živě narození - dívky","4355WZNZ2","2000","2000","Střední Čechy","CZ02","4752"
"Živě narození - dívky","4355WZNZ2","2000","2000","Jihozápad","CZ03","5115"
"Živě narození - dívky","4355WZNZ2","2000","2000","Severozápad","CZ04","5264"
"Živě narození - dívky","4355WZNZ2","2000","2000","Severovýchod","CZ05","6572"
"Živě narození - dívky","4355WZNZ2","2000","2000","Jihovýchod","CZ06","6947"
"Živě narození - dívky","4355WZNZ2","2000","2000","Střední Morava","CZ07","5127"
"Živě narození - dívky","4355WZNZ2","2000","2000","Moravskoslezsko","CZ08","5402"
"Živě narození - dívky","4355WZNZ2","2000","2000","Hlavní město Praha","CZ010","4667"
"Živě narození - dívky","4355WZNZ2","2000","2000","Středočeský kraj","CZ020","4752"
"Živě narození - dívky","4355WZNZ2","2000","2000","Jihočeský kraj","CZ031","2745"
"Živě narození - dívky","4355WZNZ2","2000","2000","Plzeňský kraj","CZ032","2370"
"Živě narození - dívky","4355WZNZ2","2000","2000","Karlovarský kraj","CZ041","1414"
"Živě narození - dívky","4355WZNZ2","2000","2000","Ústecký kraj","CZ042","3850"
"Živě narození - dívky","4355WZNZ2","2000","2000","Liberecký kraj","CZ051","1956"
"Živě narození - dívky","4355WZNZ2","2000","2000","Královéhradecký kraj","CZ052","2393"
"Živě narození - dívky","4355WZNZ2","2000","2000","Pardubický kraj","CZ053","2223"
"Živě narození - dívky","4355WZNZ2","2000","2000","Kraj Vysočina","CZ063","2289"
"Živě narození - dívky","4355WZNZ2","2000","2000","Jihomoravský kraj","CZ064","4658"
"Živě narození - dívky","4355WZNZ2","2000","2000","Olomoucký kraj","CZ071","2634"
"Živě narození - dívky","4355WZNZ2","2000","2000","Zlínský kraj","CZ072","2493"
"Živě narození - dívky","4355WZNZ2","2000","2000","Moravskoslezský kraj","CZ080","5402"
"Živě narození - dívky","4355WZNZ2","2001","2001","Česko","CZ","44099"
"Živě narození - dívky","4355WZNZ2","2001","2001","Praha","CZ01","4671"
"Živě narození - dívky","4355WZNZ2","2001","2001","Střední Čechy","CZ02","4785"
"Živě narození - dívky","4355WZNZ2","2001","2001","Jihozápad","CZ03","5117"
"Živě narození - dívky","4355WZNZ2","2001","2001","Severozápad","CZ04","5270"
"Živě narození - dívky","4355WZNZ2","2001","2001","Severovýchod","CZ05","6547"
"Živě narození - dívky","4355WZNZ2","2001","2001","Jihovýchod","CZ06","6879"
"Živě narození - dívky","4355WZNZ2","2001","2001","Střední Morava","CZ07","5362"
"Živě narození - dívky","4355WZNZ2","2001","2001","Moravskoslezsko","CZ08","5468"
"Živě narození - dívky","4355WZNZ2","2001","2001","Hlavní město Praha","CZ010","4671"
"Živě narození - dívky","4355WZNZ2","2001","2001","Středočeský kraj","CZ020","4785"
"Živě narození - dívky","4355WZNZ2","2001","2001","Jihočeský kraj","CZ031","2706"
"Živě narození - dívky","4355WZNZ2","2001","2001","Plzeňský kraj","CZ032","2411"
"Živě narození - dívky","4355WZNZ2","2001","2001","Karlovarský kraj","CZ041","1429"
"Živě narození - dívky","4355WZNZ2","2001","2001","Ústecký kraj","CZ042","3841"
"Živě narození - dívky","4355WZNZ2","2001","2001","Liberecký kraj","CZ051","1946"
"Živě narození - dívky","4355WZNZ2","2001","2001","Královéhradecký kraj","CZ052","2405"
"Živě narození - dívky","4355WZNZ2","2001","2001","Pardubický kraj","CZ053","2196"
"Živě narození - dívky","4355WZNZ2","2001","2001","Kraj Vysočina","CZ063","2181"
"Živě narození - dívky","4355WZNZ2","2001","2001","Jihomoravský kraj","CZ064","4698"
"Živě narození - dívky","4355WZNZ2","2001","2001","Olomoucký kraj","CZ071","2810"
"Živě narození - dívky","4355WZNZ2","2001","2001","Zlínský kraj","CZ072","2552"
"Živě narození - dívky","4355WZNZ2","2001","2001","Moravskoslezský kraj","CZ080","5468"
"Živě narození - dívky","4355WZNZ2","2002","2002","Česko","CZ","45074"
"Živě narození - dívky","4355WZNZ2","2002","2002","Praha","CZ01","4710"
"Živě narození - dívky","4355WZNZ2","2002","2002","Střední Čechy","CZ02","5104"
"Živě narození - dívky","4355WZNZ2","2002","2002","Jihozápad","CZ03","5111"
"Živě narození - dívky","4355WZNZ2","2002","2002","Severozápad","CZ04","5369"
"Živě narození - dívky","4355WZNZ2","2002","2002","Severovýchod","CZ05","6595"
"Živě narození - dívky","4355WZNZ2","2002","2002","Jihovýchod","CZ06","7250"
"Živě narození - dívky","4355WZNZ2","2002","2002","Střední Morava","CZ07","5250"
"Živě narození - dívky","4355WZNZ2","2002","2002","Moravskoslezsko","CZ08","5685"
"Živě narození - dívky","4355WZNZ2","2002","2002","Hlavní město Praha","CZ010","4710"
"Živě narození - dívky","4355WZNZ2","2002","2002","Středočeský kraj","CZ020","5104"
"Živě narození - dívky","4355WZNZ2","2002","2002","Jihočeský kraj","CZ031","2744"
"Živě narození - dívky","4355WZNZ2","2002","2002","Plzeňský kraj","CZ032","2367"
"Živě narození - dívky","4355WZNZ2","2002","2002","Karlovarský kraj","CZ041","1427"
"Živě narození - dívky","4355WZNZ2","2002","2002","Ústecký kraj","CZ042","3942"
"Živě narození - dívky","4355WZNZ2","2002","2002","Liberecký kraj","CZ051","2013"
"Živě narození - dívky","4355WZNZ2","2002","2002","Královéhradecký kraj","CZ052","2393"
"Živě narození - dívky","4355WZNZ2","2002","2002","Pardubický kraj","CZ053","2189"
"Živě narození - dívky","4355WZNZ2","2002","2002","Kraj Vysočina","CZ063","2355"
"Živě narození - dívky","4355WZNZ2","2002","2002","Jihomoravský kraj","CZ064","4895"
"Živě narození - dívky","4355WZNZ2","2002","2002","Olomoucký kraj","CZ071","2732"
"Živě narození - dívky","4355WZNZ2","2002","2002","Zlínský kraj","CZ072","2518"
"Živě narození - dívky","4355WZNZ2","2002","2002","Moravskoslezský kraj","CZ080","5685"
"Živě narození - dívky","4355WZNZ2","2003","2003","Česko","CZ","45554"
"Živě narození - dívky","4355WZNZ2","2003","2003","Praha","CZ01","4840"
"Živě narození - dívky","4355WZNZ2","2003","2003","Střední Čechy","CZ02","5155"
"Živě narození - dívky","4355WZNZ2","2003","2003","Jihozápad","CZ03","5231"
"Živě narození - dívky","4355WZNZ2","2003","2003","Severozápad","CZ04","5402"
"Živě narození - dívky","4355WZNZ2","2003","2003","Severovýchod","CZ05","6681"
"Živě narození - dívky","4355WZNZ2","2003","2003","Jihovýchod","CZ06","7249"
"Živě narození - dívky","4355WZNZ2","2003","2003","Střední Morava","CZ07","5317"
"Živě narození - dívky","4355WZNZ2","2003","2003","Moravskoslezsko","CZ08","5679"
"Živě narození - dívky","4355WZNZ2","2003","2003","Hlavní město Praha","CZ010","4840"
"Živě narození - dívky","4355WZNZ2","2003","2003","Středočeský kraj","CZ020","5155"
"Živě narození - dívky","4355WZNZ2","2003","2003","Jihočeský kraj","CZ031","2825"
"Živě narození - dívky","4355WZNZ2","2003","2003","Plzeňský kraj","CZ032","2406"
"Živě narození - dívky","4355WZNZ2","2003","2003","Karlovarský kraj","CZ041","1364"
"Živě narození - dívky","4355WZNZ2","2003","2003","Ústecký kraj","CZ042","4038"
"Živě narození - dívky","4355WZNZ2","2003","2003","Liberecký kraj","CZ051","1971"
"Živě narození - dívky","4355WZNZ2","2003","2003","Královéhradecký kraj","CZ052","2476"
"Živě narození - dívky","4355WZNZ2","2003","2003","Pardubický kraj","CZ053","2234"
"Živě narození - dívky","4355WZNZ2","2003","2003","Kraj Vysočina","CZ063","2388"
"Živě narození - dívky","4355WZNZ2","2003","2003","Jihomoravský kraj","CZ064","4861"
"Živě narození - dívky","4355WZNZ2","2003","2003","Olomoucký kraj","CZ071","2839"
"Živě narození - dívky","4355WZNZ2","2003","2003","Zlínský kraj","CZ072","2478"
"Živě narození - dívky","4355WZNZ2","2003","2003","Moravskoslezský kraj","CZ080","5679"
"Živě narození - dívky","4355WZNZ2","2004","2004","Česko","CZ","47402"
"Živě narození - dívky","4355WZNZ2","2004","2004","Praha","CZ01","5468"
"Živě narození - dívky","4355WZNZ2","2004","2004","Střední Čechy","CZ02","5491"
"Živě narození - dívky","4355WZNZ2","2004","2004","Jihozápad","CZ03","5350"
"Živě narození - dívky","4355WZNZ2","2004","2004","Severozápad","CZ04","5621"
"Živě narození - dívky","4355WZNZ2","2004","2004","Severovýchod","CZ05","6916"
"Živě narození - dívky","4355WZNZ2","2004","2004","Jihovýchod","CZ06","7465"
"Živě narození - dívky","4355WZNZ2","2004","2004","Střední Morava","CZ07","5455"
"Živě narození - dívky","4355WZNZ2","2004","2004","Moravskoslezsko","CZ08","5636"
"Živě narození - dívky","4355WZNZ2","2004","2004","Hlavní město Praha","CZ010","5468"
"Živě narození - dívky","4355WZNZ2","2004","2004","Středočeský kraj","CZ020","5491"
"Živě narození - dívky","4355WZNZ2","2004","2004","Jihočeský kraj","CZ031","2887"
"Živě narození - dívky","4355WZNZ2","2004","2004","Plzeňský kraj","CZ032","2463"
"Živě narození - dívky","4355WZNZ2","2004","2004","Karlovarský kraj","CZ041","1390"
"Živě narození - dívky","4355WZNZ2","2004","2004","Ústecký kraj","CZ042","4231"
"Živě narození - dívky","4355WZNZ2","2004","2004","Liberecký kraj","CZ051","2084"
"Živě narození - dívky","4355WZNZ2","2004","2004","Královéhradecký kraj","CZ052","2506"
"Živě narození - dívky","4355WZNZ2","2004","2004","Pardubický kraj","CZ053","2326"
"Živě narození - dívky","4355WZNZ2","2004","2004","Kraj Vysočina","CZ063","2307"
"Živě narození - dívky","4355WZNZ2","2004","2004","Jihomoravský kraj","CZ064","5158"
"Živě narození - dívky","4355WZNZ2","2004","2004","Olomoucký kraj","CZ071","2939"
"Živě narození - dívky","4355WZNZ2","2004","2004","Zlínský kraj","CZ072","2516"
"Živě narození - dívky","4355WZNZ2","2004","2004","Moravskoslezský kraj","CZ080","5636"
"Živě narození - dívky","4355WZNZ2","2005","2005","Česko","CZ","49758"
"Živě narození - dívky","4355WZNZ2","2005","2005","Praha","CZ01","5932"
"Živě narození - dívky","4355WZNZ2","2005","2005","Střední Čechy","CZ02","5813"
"Živě narození - dívky","4355WZNZ2","2005","2005","Jihozápad","CZ03","5582"
"Živě narození - dívky","4355WZNZ2","2005","2005","Severozápad","CZ04","5698"
"Živě narození - dívky","4355WZNZ2","2005","2005","Severovýchod","CZ05","7057"
"Živě narození - dívky","4355WZNZ2","2005","2005","Jihovýchod","CZ06","7929"
"Živě narození - dívky","4355WZNZ2","2005","2005","Střední Morava","CZ07","5821"
"Živě narození - dívky","4355WZNZ2","2005","2005","Moravskoslezsko","CZ08","5926"
"Živě narození - dívky","4355WZNZ2","2005","2005","Hlavní město Praha","CZ010","5932"
"Živě narození - dívky","4355WZNZ2","2005","2005","Středočeský kraj","CZ020","5813"
"Živě narození - dívky","4355WZNZ2","2005","2005","Jihočeský kraj","CZ031","2980"
"Živě narození - dívky","4355WZNZ2","2005","2005","Plzeňský kraj","CZ032","2602"
"Živě narození - dívky","4355WZNZ2","2005","2005","Karlovarský kraj","CZ041","1458"
"Živě narození - dívky","4355WZNZ2","2005","2005","Ústecký kraj","CZ042","4240"
"Živě narození - dívky","4355WZNZ2","2005","2005","Liberecký kraj","CZ051","2107"
"Živě narození - dívky","4355WZNZ2","2005","2005","Královéhradecký kraj","CZ052","2588"
"Živě narození - dívky","4355WZNZ2","2005","2005","Pardubický kraj","CZ053","2362"
"Živě narození - dívky","4355WZNZ2","2005","2005","Kraj Vysočina","CZ063","2437"
"Živě narození - dívky","4355WZNZ2","2005","2005","Jihomoravský kraj","CZ064","5492"
"Živě narození - dívky","4355WZNZ2","2005","2005","Olomoucký kraj","CZ071","3042"
"Živě narození - dívky","4355WZNZ2","2005","2005","Zlínský kraj","CZ072","2779"
"Živě narození - dívky","4355WZNZ2","2005","2005","Moravskoslezský kraj","CZ080","5926"
"Živě narození - dívky","4355WZNZ2","2006","2006","Česko","CZ","51219"
"Živě narození - dívky","4355WZNZ2","2006","2006","Praha","CZ01","6044"
"Živě narození - dívky","4355WZNZ2","2006","2006","Střední Čechy","CZ02","6145"
"Živě narození - dívky","4355WZNZ2","2006","2006","Jihozápad","CZ03","5873"
"Živě narození - dívky","4355WZNZ2","2006","2006","Severozápad","CZ04","5841"
"Živě narození - dívky","4355WZNZ2","2006","2006","Severovýchod","CZ05","7464"
"Živě narození - dívky","4355WZNZ2","2006","2006","Jihovýchod","CZ06","7974"
"Živě narození - dívky","4355WZNZ2","2006","2006","Střední Morava","CZ07","5894"
"Živě narození - dívky","4355WZNZ2","2006","2006","Moravskoslezsko","CZ08","5984"
"Živě narození - dívky","4355WZNZ2","2006","2006","Hlavní město Praha","CZ010","6044"
"Živě narození - dívky","4355WZNZ2","2006","2006","Středočeský kraj","CZ020","6145"
"Živě narození - dívky","4355WZNZ2","2006","2006","Jihočeský kraj","CZ031","3089"
"Živě narození - dívky","4355WZNZ2","2006","2006","Plzeňský kraj","CZ032","2784"
"Živě narození - dívky","4355WZNZ2","2006","2006","Karlovarský kraj","CZ041","1489"
"Živě narození - dívky","4355WZNZ2","2006","2006","Ústecký kraj","CZ042","4352"
"Živě narození - dívky","4355WZNZ2","2006","2006","Liberecký kraj","CZ051","2218"
"Živě narození - dívky","4355WZNZ2","2006","2006","Královéhradecký kraj","CZ052","2715"
"Živě narození - dívky","4355WZNZ2","2006","2006","Pardubický kraj","CZ053","2531"
"Živě narození - dívky","4355WZNZ2","2006","2006","Kraj Vysočina","CZ063","2432"
"Živě narození - dívky","4355WZNZ2","2006","2006","Jihomoravský kraj","CZ064","5542"
"Živě narození - dívky","4355WZNZ2","2006","2006","Olomoucký kraj","CZ071","3143"
"Živě narození - dívky","4355WZNZ2","2006","2006","Zlínský kraj","CZ072","2751"
"Živě narození - dívky","4355WZNZ2","2006","2006","Moravskoslezský kraj","CZ080","5984"
"Živě narození - dívky","4355WZNZ2","2007","2007","Česko","CZ","56157"
"Živě narození - dívky","4355WZNZ2","2007","2007","Praha","CZ01","6422"
"Živě narození - dívky","4355WZNZ2","2007","2007","Střední Čechy","CZ02","6890"
"Živě narození - dívky","4355WZNZ2","2007","2007","Jihozápad","CZ03","6478"
"Živě narození - dívky","4355WZNZ2","2007","2007","Severozápad","CZ04","6462"
"Živě narození - dívky","4355WZNZ2","2007","2007","Severovýchod","CZ05","8227"
"Živě narození - dívky","4355WZNZ2","2007","2007","Jihovýchod","CZ06","8724"
"Živě narození - dívky","4355WZNZ2","2007","2007","Střední Morava","CZ07","6313"
"Živě narození - dívky","4355WZNZ2","2007","2007","Moravskoslezsko","CZ08","6641"
"Živě narození - dívky","4355WZNZ2","2007","2007","Hlavní město Praha","CZ010","6422"
"Živě narození - dívky","4355WZNZ2","2007","2007","Středočeský kraj","CZ020","6890"
"Živě narození - dívky","4355WZNZ2","2007","2007","Jihočeský kraj","CZ031","3434"
"Živě narození - dívky","4355WZNZ2","2007","2007","Plzeňský kraj","CZ032","3044"
"Živě narození - dívky","4355WZNZ2","2007","2007","Karlovarský kraj","CZ041","1728"
"Živě narození - dívky","4355WZNZ2","2007","2007","Ústecký kraj","CZ042","4734"
"Živě narození - dívky","4355WZNZ2","2007","2007","Liberecký kraj","CZ051","2445"
"Živě narození - dívky","4355WZNZ2","2007","2007","Královéhradecký kraj","CZ052","2976"
"Živě narození - dívky","4355WZNZ2","2007","2007","Pardubický kraj","CZ053","2806"
"Živě narození - dívky","4355WZNZ2","2007","2007","Kraj Vysočina","CZ063","2665"
"Živě narození - dívky","4355WZNZ2","2007","2007","Jihomoravský kraj","CZ064","6059"
"Živě narození - dívky","4355WZNZ2","2007","2007","Olomoucký kraj","CZ071","3417"
"Živě narození - dívky","4355WZNZ2","2007","2007","Zlínský kraj","CZ072","2896"
"Živě narození - dívky","4355WZNZ2","2007","2007","Moravskoslezský kraj","CZ080","6641"
"Živě narození - dívky","4355WZNZ2","2008","2008","Česko","CZ","58244"
"Živě narození - dívky","4355WZNZ2","2008","2008","Praha","CZ01","6974"
"Živě narození - dívky","4355WZNZ2","2008","2008","Střední Čechy","CZ02","7441"
"Živě narození - dívky","4355WZNZ2","2008","2008","Jihozápad","CZ03","6621"
"Živě narození - dívky","4355WZNZ2","2008","2008","Severozápad","CZ04","6618"
"Živě narození - dívky","4355WZNZ2","2008","2008","Severovýchod","CZ05","8382"
"Živě narození - dívky","4355WZNZ2","2008","2008","Jihovýchod","CZ06","9183"
"Živě narození - dívky","4355WZNZ2","2008","2008","Střední Morava","CZ07","6525"
"Živě narození - dívky","4355WZNZ2","2008","2008","Moravskoslezsko","CZ08","6500"
"Živě narození - dívky","4355WZNZ2","2008","2008","Hlavní město Praha","CZ010","6974"
"Živě narození - dívky","4355WZNZ2","2008","2008","Středočeský kraj","CZ020","7441"
"Živě narození - dívky","4355WZNZ2","2008","2008","Jihočeský kraj","CZ031","3498"
"Živě narození - dívky","4355WZNZ2","2008","2008","Plzeňský kraj","CZ032","3123"
"Živě narození - dívky","4355WZNZ2","2008","2008","Karlovarský kraj","CZ041","1738"
"Živě narození - dívky","4355WZNZ2","2008","2008","Ústecký kraj","CZ042","4880"
"Živě narození - dívky","4355WZNZ2","2008","2008","Liberecký kraj","CZ051","2579"
"Živě narození - dívky","4355WZNZ2","2008","2008","Královéhradecký kraj","CZ052","3050"
"Živě narození - dívky","4355WZNZ2","2008","2008","Pardubický kraj","CZ053","2753"
"Živě narození - dívky","4355WZNZ2","2008","2008","Kraj Vysočina","CZ063","2740"
"Živě narození - dívky","4355WZNZ2","2008","2008","Jihomoravský kraj","CZ064","6443"
"Živě narození - dívky","4355WZNZ2","2008","2008","Olomoucký kraj","CZ071","3495"
"Živě narození - dívky","4355WZNZ2","2008","2008","Zlínský kraj","CZ072","3030"
"Živě narození - dívky","4355WZNZ2","2008","2008","Moravskoslezský kraj","CZ080","6500"
"Živě narození - dívky","4355WZNZ2","2009","2009","Česko","CZ","57980"
"Živě narození - dívky","4355WZNZ2","2009","2009","Praha","CZ01","6997"
"Živě narození - dívky","4355WZNZ2","2009","2009","Střední Čechy","CZ02","7476"
"Živě narození - dívky","4355WZNZ2","2009","2009","Jihozápad","CZ03","6558"
