"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Narození","4355","2003","2003","Kraj Vysočina","CZ063","4781"
"Narození","4355","2003","2003","Jihomoravský kraj","CZ064","10032"
"Narození","4355","2003","2003","Olomoucký kraj","CZ071","5845"
"Narození","4355","2003","2003","Zlínský kraj","CZ072","5155"
"Narození","4355","2003","2003","Moravskoslezský kraj","CZ080","11586"
"Narození","4355","2004","2004","Česko","CZ","97929"
"Narození","4355","2004","2004","Praha","CZ01","11160"
"Narození","4355","2004","2004","Střední Čechy","CZ02","11314"
"Narození","4355","2004","2004","Jihozápad","CZ03","11023"
"Narození","4355","2004","2004","Severozápad","CZ04","11543"
"Narození","4355","2004","2004","Severovýchod","CZ05","14354"
"Narození","4355","2004","2004","Jihovýchod","CZ06","15521"
"Narození","4355","2004","2004","Střední Morava","CZ07","11154"
"Narození","4355","2004","2004","Moravskoslezsko","CZ08","11860"
"Narození","4355","2004","2004","Hlavní město Praha","CZ010","11160"
"Narození","4355","2004","2004","Středočeský kraj","CZ020","11314"
"Narození","4355","2004","2004","Jihočeský kraj","CZ031","5957"
"Narození","4355","2004","2004","Plzeňský kraj","CZ032","5066"
"Narození","4355","2004","2004","Karlovarský kraj","CZ041","2917"
"Narození","4355","2004","2004","Ústecký kraj","CZ042","8626"
"Narození","4355","2004","2004","Liberecký kraj","CZ051","4321"
"Narození","4355","2004","2004","Královéhradecký kraj","CZ052","5198"
"Narození","4355","2004","2004","Pardubický kraj","CZ053","4835"
"Narození","4355","2004","2004","Kraj Vysočina","CZ063","4832"
"Narození","4355","2004","2004","Jihomoravský kraj","CZ064","10689"
"Narození","4355","2004","2004","Olomoucký kraj","CZ071","5924"
"Narození","4355","2004","2004","Zlínský kraj","CZ072","5230"
"Narození","4355","2004","2004","Moravskoslezský kraj","CZ080","11860"
"Narození","4355","2005","2005","Česko","CZ","102498"
"Narození","4355","2005","2005","Praha","CZ01","11966"
"Narození","4355","2005","2005","Střední Čechy","CZ02","12136"
"Narození","4355","2005","2005","Jihozápad","CZ03","11604"
"Narození","4355","2005","2005","Severozápad","CZ04","11788"
"Narození","4355","2005","2005","Severovýchod","CZ05","14636"
"Narození","4355","2005","2005","Jihovýchod","CZ06","16257"
"Narození","4355","2005","2005","Střední Morava","CZ07","11888"
