"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Věk (jednoleté skupiny)","VEKZEN1PLOD","Hodnota"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","47","410047610048000","0.1148633127"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","48","410048610049000","0"
"Míry plodnosti","5406","2001","2001","Střední Čechy","CZ02","49","410049610050000","0"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","15","410015610016000","0.9495387954"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","16","410016610017000","2.7892150352"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","17","410017610018000","6.7167127618"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","18","410018610019000","15.8215536247"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","19","410019610020000","24.7430529121"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","20","410020610021000","39.4016782196"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","21","410021610022000","50.3984734538"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","22","410022610023000","63.3993743483"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","23","410023610024000","72.2891566265"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","24","410024610025000","88.3224659158"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","25","410025610026000","98.441108545"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","26","410026610027000","101.9495958155"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","27","410027610028000","96.9762207652"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","28","410028610029000","87.9447689857"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","29","410029610030000","77.5320139697"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","30","410030610031000","68.0736854947"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","31","410031610032000","51.6023214736"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","32","410032610033000","43.1341511674"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","33","410033610034000","33.3741997003"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","34","410034610035000","30.620467365"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","35","410035610036000","18.9468182412"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","36","410036610037000","17.4513496547"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","37","410037610038000","11.6784693751"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","38","410038610039000","8.6933614331"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","39","410039610040000","8.5446527012"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","40","410040610041000","4.7097936002"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","41","410041610042000","3.4901577551"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","42","410042610043000","1.6068559186"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","43","410043610044000","0.98340504"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","44","410044610045000","0.924000924"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","45","410045610046000","0.1120071685"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","46","410046610047000","0.1113957892"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","47","410047610048000","0"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","48","410048610049000","0.1089918256"
"Míry plodnosti","5406","2001","2001","Jihozápad","CZ03","49","410049610050000","0"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","15","410015610016000","3.121606949"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","16","410016610017000","6.2661762703"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","17","410017610018000","16.2140251317"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","18","410018610019000","32.1568627451"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","19","410019610020000","46.0261895501"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","20","410020610021000","59.9520383693"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","21","410021610022000","66.3752444496"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","22","410022610023000","70.75773746"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","23","410023610024000","77.6390945631"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","24","410024610025000","90.7129648654"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","25","410025610026000","95.5817809422"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","26","410026610027000","100.9463722397"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","27","410027610028000","85.6888713184"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","28","410028610029000","86.6183677818"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","29","410029610030000","74.0314978733"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","30","410030610031000","62.2563352827"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","31","410031610032000","52.1928699667"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","32","410032610033000","42.5101214575"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","33","410033610034000","40.6659388646"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","34","410034610035000","26.7206477733"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","35","410035610036000","18.6656076251"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","36","410036610037000","19.8044940967"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","37","410037610038000","13.7765419616"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","38","410038610039000","10.5667627281"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","39","410039610040000","8.289374529"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","40","410040610041000","5.2059408973"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","41","410041610042000","3.506097561"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","42","410042610043000","1.1549011116"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","43","410043610044000","0.7854431208"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","44","410044610045000","0.2483854943"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","45","410045610046000","0.2424830262"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","46","410046610047000","0"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","47","410047610048000","0.115446779"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","48","410048610049000","0"
"Míry plodnosti","5406","2001","2001","Severozápad","CZ04","49","410049610050000","0"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","15","410015610016000","0.8485362749"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","16","410016610017000","4.1631973356"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","17","410017610018000","8.8170462895"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","18","410018610019000","16.3071524409"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","19","410019610020000","29.441318328"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","20","410020610021000","39.6096995459"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","21","410021610022000","53.260196408"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","22","410022610023000","57.9852579853"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","23","410023610024000","75.0693618708"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","24","410024610025000","81.527585677"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","25","410025610026000","102.731993678"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","26","410026610027000","99.7310623039"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","27","410027610028000","103.0251582034"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","28","410028610029000","90.4965969246"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","29","410029610030000","78.539722801"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","30","410030610031000","67.111534795"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","31","410031610032000","59.7133757962"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","32","410032610033000","43.2562017928"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","33","410033610034000","33.7561814664"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","34","410034610035000","30.4891187244"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","35","410035610036000","25.384453339"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","36","410036610037000","17.2933842751"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","37","410037610038000","12.9948020792"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","38","410038610039000","9.9292278441"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","39","410039610040000","8.3814701552"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","40","410040610041000","4.6274872744"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","41","410041610042000","3.3732697453"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","42","410042610043000","2.7765437583"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","43","410043610044000","0.8170769074"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","44","410044610045000","0.6649567778"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","45","410045610046000","0.4557469693"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","46","410046610047000","0.0889363216"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","47","410047610048000","0.0873591334"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","48","410048610049000","0"
"Míry plodnosti","5406","2001","2001","Severovýchod","CZ05","49","410049610050000","0"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","15","410015610016000","0.6545726576"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","16","410016610017000","2.5732928959"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","17","410017610018000","5.795235029"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","18","410018610019000","11.4034300081"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","19","410019610020000","23.3246301131"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","20","410020610021000","39.7646069777"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","21","410021610022000","48.2088265266"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","22","410022610023000","53.9817086772"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","23","410023610024000","72.7075027184"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","24","410024610025000","84.8446056468"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","25","410025610026000","93.0248763152"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","26","410026610027000","101.76779742"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","27","410027610028000","99.886492622"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","28","410028610029000","90.7319354587"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","29","410029610030000","76.4567194342"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","30","410030610031000","65.8400279427"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","31","410031610032000","56.3138389225"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","32","410032610033000","41.9076514649"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","33","410033610034000","35.0048216008"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","34","410034610035000","27.7619319262"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","35","410035610036000","23.688819246"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","36","410036610037000","16.9807965861"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","37","410037610038000","15.0990318856"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","38","410038610039000","9.253139458"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","39","410039610040000","6.975830222"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","40","410040610041000","5.6508377119"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","41","410041610042000","3.6119193338"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","42","410042610043000","1.4485755674"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","43","410043610044000","0.6242753946"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","44","410044610045000","0.3355141755"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","45","410045610046000","0.3282994091"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","46","410046610047000","0"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","47","410047610048000","0.0832708802"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","48","410048610049000","0"
"Míry plodnosti","5406","2001","2001","Jihovýchod","CZ06","49","410049610050000","0"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","15","410015610016000","1.1194029851"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","16","410016610017000","2.3170731707"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","17","410017610018000","4.2708968883"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","18","410018610019000","12.0640229336"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","19","410019610020000","23.5682568598"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","20","410020610021000","34.1597796143"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","21","410021610022000","44.289287203"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","22","410022610023000","63.8153428377"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","23","410023610024000","72.0239767725"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","24","410024610025000","90.9677419355"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","25","410025610026000","102.3807368516"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","26","410026610027000","106.1613077061"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","27","410027610028000","98.0558701397"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","28","410028610029000","86.0402960526"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","29","410029610030000","77.3597506679"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","30","410030610031000","60.5278592375"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","31","410031610032000","55.7167029248"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","32","410032610033000","44.3775855585"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","33","410033610034000","36.3214837713"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","34","410034610035000","27.0615266786"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","35","410035610036000","22.0324297562"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","36","410036610037000","19.0408187552"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","37","410037610038000","12.2984104885"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","38","410038610039000","7.6660988075"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","39","410039610040000","7.3274199769"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","40","410040610041000","5.0309597523"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","41","410041610042000","3.0223390276"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","42","410042610043000","2.0133383667"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","43","410043610044000","1.5238541789"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","44","410044610045000","0.3353079244"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","45","410045610046000","0"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","46","410046610047000","0"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","47","410047610048000","0"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","48","410048610049000","0"
"Míry plodnosti","5406","2001","2001","Střední Morava","CZ07","49","410049610050000","0"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","15","410015610016000","1.6277177072"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","16","410016610017000","4.352429126"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","17","410017610018000","11.1097978962"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","18","410018610019000","20.3987553302"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","19","410019610020000","38.3681960014"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","20","410020610021000","47.564731379"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","21","410021610022000","58.5791441629"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","22","410022610023000","66.4924506388"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","23","410023610024000","80.9464508095"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","24","410024610025000","89.3379922561"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","25","410025610026000","97.7492559524"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","26","410026610027000","99.1213618891"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","27","410027610028000","97.622143786"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","28","410028610029000","79.2762171349"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","29","410029610030000","73.2307034424"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","30","410030610031000","62.1531631521"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","31","410031610032000","50.5004026228"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","32","410032610033000","40.0475341652"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","33","410033610034000","35.0054132082"
"Míry plodnosti","5406","2001","2001","Moravskoslezsko","CZ08","34","410034610035000","24.3561356485"
