Ukazatel,IndicatorType,Roky,CasR,"ČR, Reg. soudržnosti, Kraje",Uz012,Hodnota,Uz01A
Narození,4355,2003,2003,Jihovýchod,CZ06,14813.0,CZ06
Narození,4355,2003,2003,Střední Morava,CZ07,11000.0,CZ07
Narození,4355,2003,2003,Moravskoslezsko,CZ08,11586.0,CZ08
Narození,4355,2003,2003,Hlavní město Praha,CZ010,10080.0,CZ01
Narození,4355,2003,2003,Středočeský kraj,CZ020,10671.0,CZ02
Narození,4355,2003,2003,Jihočeský kraj,CZ031,5760.0,CZ03
Narození,4355,2003,2003,Plzeňský kraj,CZ032,4952.0,CZ03
Narození,4355,2003,2003,Karlovarský kraj,CZ041,2898.0,CZ04
Narození,4355,2003,2003,Ústecký kraj,CZ042,8375.0,CZ04
Narození,4355,2003,2003,Liberecký kraj,CZ051,4055.0,CZ05
Narození,4355,2003,2003,Královéhradecký kraj,CZ052,5112.0,CZ05
Narození,4355,2003,2003,Pardubický kraj,CZ053,4655.0,CZ05
Narození,4355,2003,2003,Kraj Vysočina,CZ063,4781.0,CZ06
Narození,4355,2003,2003,Jihomoravský kraj,CZ064,10032.0,CZ06
Narození,4355,2003,2003,Olomoucký kraj,CZ071,5845.0,CZ07
Narození,4355,2003,2003,Zlínský kraj,CZ072,5155.0,CZ07
Narození,4355,2003,2003,Moravskoslezský kraj,CZ080,11586.0,CZ08
Narození,4355,2004,2004,Česko,CZ,97929.0,CZ
Narození,4355,2004,2004,Praha,CZ01,11160.0,CZ01
Narození,4355,2004,2004,Střední Čechy,CZ02,11314.0,CZ02
Narození,4355,2004,2004,Jihozápad,CZ03,11023.0,CZ03
Narození,4355,2004,2004,Severozápad,CZ04,11543.0,CZ04
Narození,4355,2004,2004,Severovýchod,CZ05,14354.0,CZ05
Narození,4355,2004,2004,Jihovýchod,CZ06,15521.0,CZ06
Narození,4355,2004,2004,Střední Morava,CZ07,11154.0,CZ07
Narození,4355,2004,2004,Moravskoslezsko,CZ08,11860.0,CZ08
Narození,4355,2004,2004,Hlavní město Praha,CZ010,11160.0,CZ01
Narození,4355,2004,2004,Středočeský kraj,CZ020,11314.0,CZ02
Narození,4355,2004,2004,Jihočeský kraj,CZ031,5957.0,CZ03
Narození,4355,2004,2004,Plzeňský kraj,CZ032,5066.0,CZ03
Narození,4355,2004,2004,Karlovarský kraj,CZ041,2917.0,CZ04
Narození,4355,2004,2004,Ústecký kraj,CZ042,8626.0,CZ04
Narození,4355,2004,2004,Liberecký kraj,CZ051,4321.0,CZ05
Narození,4355,2004,2004,Královéhradecký kraj,CZ052,5198.0,CZ05
Narození,4355,2004,2004,Pardubický kraj,CZ053,4835.0,CZ05
Narození,4355,2004,2004,Kraj Vysočina,CZ063,4832.0,CZ06
Narození,4355,2004,2004,Jihomoravský kraj,CZ064,10689.0,CZ06
Narození,4355,2004,2004,Olomoucký kraj,CZ071,5924.0,CZ07
Narození,4355,2004,2004,Zlínský kraj,CZ072,5230.0,CZ07
Narození,4355,2004,2004,Moravskoslezský kraj,CZ080,11860.0,CZ08
Narození,4355,2005,2005,Česko,CZ,102498.0,CZ
Narození,4355,2005,2005,Praha,CZ01,11966.0,CZ01
Narození,4355,2005,2005,Střední Čechy,CZ02,12136.0,CZ02
Narození,4355,2005,2005,Jihozápad,CZ03,11604.0,CZ03
Narození,4355,2005,2005,Severozápad,CZ04,11788.0,CZ04
Narození,4355,2005,2005,Severovýchod,CZ05,14636.0,CZ05
Narození,4355,2005,2005,Jihovýchod,CZ06,16257.0,CZ06
Narození,4355,2005,2005,Střední Morava,CZ07,11888.0,CZ07
Narození,4355,2005,2005,Moravskoslezsko,CZ08,12223.0,CZ08
Narození,4355,2005,2005,Hlavní město Praha,CZ010,11966.0,CZ01
Narození,4355,2005,2005,Středočeský kraj,CZ020,12136.0,CZ02
Narození,4355,2005,2005,Jihočeský kraj,CZ031,6149.0,CZ03
Narození,4355,2005,2005,Plzeňský kraj,CZ032,5455.0,CZ03
Narození,4355,2005,2005,Karlovarský kraj,CZ041,3025.0,CZ04
Narození,4355,2005,2005,Ústecký kraj,CZ042,8763.0,CZ04
Narození,4355,2005,2005,Liberecký kraj,CZ051,4284.0,CZ05
Narození,4355,2005,2005,Královéhradecký kraj,CZ052,5427.0,CZ05
Narození,4355,2005,2005,Pardubický kraj,CZ053,4925.0,CZ05
Narození,4355,2005,2005,Kraj Vysočina,CZ063,5084.0,CZ06
Narození,4355,2005,2005,Jihomoravský kraj,CZ064,11173.0,CZ06
Narození,4355,2005,2005,Olomoucký kraj,CZ071,6201.0,CZ07
Narození,4355,2005,2005,Zlínský kraj,CZ072,5687.0,CZ07
Narození,4355,2005,2005,Moravskoslezský kraj,CZ080,12223.0,CZ08
Narození,4355,2006,2006,Česko,CZ,106130.0,CZ
Narození,4355,2006,2006,Praha,CZ01,12556.0,CZ01
Narození,4355,2006,2006,Střední Čechy,CZ02,12771.0,CZ02
Narození,4355,2006,2006,Jihozápad,CZ03,12205.0,CZ03
Narození,4355,2006,2006,Severozápad,CZ04,12187.0,CZ04
Narození,4355,2006,2006,Severovýchod,CZ05,15240.0,CZ05
Narození,4355,2006,2006,Jihovýchod,CZ06,16670.0,CZ06
Narození,4355,2006,2006,Střední Morava,CZ07,12076.0,CZ07
Narození,4355,2006,2006,Moravskoslezsko,CZ08,12425.0,CZ08
Narození,4355,2006,2006,Hlavní město Praha,CZ010,12556.0,CZ01
Narození,4355,2006,2006,Středočeský kraj,CZ020,12771.0,CZ02
Narození,4355,2006,2006,Jihočeský kraj,CZ031,6386.0,CZ03
Narození,4355,2006,2006,Plzeňský kraj,CZ032,5819.0,CZ03
Narození,4355,2006,2006,Karlovarský kraj,CZ041,3216.0,CZ04
Narození,4355,2006,2006,Ústecký kraj,CZ042,8971.0,CZ04
Narození,4355,2006,2006,Liberecký kraj,CZ051,4478.0,CZ05
Narození,4355,2006,2006,Královéhradecký kraj,CZ052,5502.0,CZ05
Narození,4355,2006,2006,Pardubický kraj,CZ053,5260.0,CZ05
Narození,4355,2006,2006,Kraj Vysočina,CZ063,5124.0,CZ06
Narození,4355,2006,2006,Jihomoravský kraj,CZ064,11546.0,CZ06
Narození,4355,2006,2006,Olomoucký kraj,CZ071,6445.0,CZ07
Narození,4355,2006,2006,Zlínský kraj,CZ072,5631.0,CZ07
Narození,4355,2006,2006,Moravskoslezský kraj,CZ080,12425.0,CZ08
Narození,4355,2007,2007,Česko,CZ,114947.0,CZ
Narození,4355,2007,2007,Praha,CZ01,13228.0,CZ01
Narození,4355,2007,2007,Střední Čechy,CZ02,14313.0,CZ02
Narození,4355,2007,2007,Jihozápad,CZ03,13052.0,CZ03
Narození,4355,2007,2007,Severozápad,CZ04,13208.0,CZ04
Narození,4355,2007,2007,Severovýchod,CZ05,16916.0,CZ05
Narození,4355,2007,2007,Jihovýchod,CZ06,17792.0,CZ06
Narození,4355,2007,2007,Střední Morava,CZ07,13026.0,CZ07
Narození,4355,2007,2007,Moravskoslezsko,CZ08,13412.0,CZ08
Narození,4355,2007,2007,Hlavní město Praha,CZ010,13228.0,CZ01
Narození,4355,2007,2007,Středočeský kraj,CZ020,14313.0,CZ02
Narození,4355,2007,2007,Jihočeský kraj,CZ031,6940.0,CZ03
Narození,4355,2007,2007,Plzeňský kraj,CZ032,6112.0,CZ03
Narození,4355,2007,2007,Karlovarský kraj,CZ041,3455.0,CZ04
Narození,4355,2007,2007,Ústecký kraj,CZ042,9753.0,CZ04
Narození,4355,2007,2007,Liberecký kraj,CZ051,5055.0,CZ05
Narození,4355,2007,2007,Královéhradecký kraj,CZ052,6138.0,CZ05
Narození,4355,2007,2007,Pardubický kraj,CZ053,5723.0,CZ05
Narození,4355,2007,2007,Kraj Vysočina,CZ063,5391.0,CZ06
Narození,4355,2007,2007,Jihomoravský kraj,CZ064,12401.0,CZ06
Narození,4355,2007,2007,Olomoucký kraj,CZ071,6950.0,CZ07
Narození,4355,2007,2007,Zlínský kraj,CZ072,6076.0,CZ07
Narození,4355,2007,2007,Moravskoslezský kraj,CZ080,13412.0,CZ08
Narození,4355,2008,2008,Česko,CZ,119842.0,CZ
Narození,4355,2008,2008,Praha,CZ01,14362.0,CZ01
Narození,4355,2008,2008,Střední Čechy,CZ02,15281.0,CZ02
Narození,4355,2008,2008,Jihozápad,CZ03,13571.0,CZ03
Narození,4355,2008,2008,Severozápad,CZ04,13623.0,CZ04
Narození,4355,2008,2008,Severovýchod,CZ05,17275.0,CZ05
Narození,4355,2008,2008,Jihovýchod,CZ06,18877.0,CZ06
Narození,4355,2008,2008,Střední Morava,CZ07,13408.0,CZ07
Narození,4355,2008,2008,Moravskoslezsko,CZ08,13445.0,CZ08
Narození,4355,2008,2008,Hlavní město Praha,CZ010,14362.0,CZ01
Narození,4355,2008,2008,Středočeský kraj,CZ020,15281.0,CZ02
Narození,4355,2008,2008,Jihočeský kraj,CZ031,7173.0,CZ03
Narození,4355,2008,2008,Plzeňský kraj,CZ032,6398.0,CZ03
Narození,4355,2008,2008,Karlovarský kraj,CZ041,3572.0,CZ04
Narození,4355,2008,2008,Ústecký kraj,CZ042,10051.0,CZ04
Narození,4355,2008,2008,Liberecký kraj,CZ051,5240.0,CZ05
Narození,4355,2008,2008,Královéhradecký kraj,CZ052,6268.0,CZ05
Narození,4355,2008,2008,Pardubický kraj,CZ053,5767.0,CZ05
Narození,4355,2008,2008,Kraj Vysočina,CZ063,5660.0,CZ06
Narození,4355,2008,2008,Jihomoravský kraj,CZ064,13217.0,CZ06
Narození,4355,2008,2008,Olomoucký kraj,CZ071,7134.0,CZ07
Narození,4355,2008,2008,Zlínský kraj,CZ072,6274.0,CZ07
Narození,4355,2008,2008,Moravskoslezský kraj,CZ080,13445.0,CZ08
Narození,4355,2009,2009,Česko,CZ,118667.0,CZ
Narození,4355,2009,2009,Praha,CZ01,14514.0,CZ01
Narození,4355,2009,2009,Střední Čechy,CZ02,15256.0,CZ02
Narození,4355,2009,2009,Jihozápad,CZ03,13477.0,CZ03
Narození,4355,2009,2009,Severozápad,CZ04,13098.0,CZ04
Narození,4355,2009,2009,Severovýchod,CZ05,17163.0,CZ05
Narození,4355,2009,2009,Jihovýchod,CZ06,18650.0,CZ06
Narození,4355,2009,2009,Střední Morava,CZ07,13241.0,CZ07
Narození,4355,2009,2009,Moravskoslezsko,CZ08,13268.0,CZ08
Narození,4355,2009,2009,Hlavní město Praha,CZ010,14514.0,CZ01
Narození,4355,2009,2009,Středočeský kraj,CZ020,15256.0,CZ02
Narození,4355,2009,2009,Jihočeský kraj,CZ031,7048.0,CZ03
Narození,4355,2009,2009,Plzeňský kraj,CZ032,6429.0,CZ03
Narození,4355,2009,2009,Karlovarský kraj,CZ041,3434.0,CZ04
Narození,4355,2009,2009,Ústecký kraj,CZ042,9664.0,CZ04
Narození,4355,2009,2009,Liberecký kraj,CZ051,5221.0,CZ05
Narození,4355,2009,2009,Královéhradecký kraj,CZ052,6284.0,CZ05
Narození,4355,2009,2009,Pardubický kraj,CZ053,5658.0,CZ05
